DEPT,GR,CAL,RESDEEP,RESMED,NPHI,RHOB,PE,TOC,VCLAY,VOTZ,VOTZ,VCLC,VPYR,VOM,BVH,BVWF,BVWI,Sw,OIP,SUM OIP,Electrofacies
2600.50,91.83,8.85,1057.86,1267.99,0.39,2.77,7.70,0.01,1.00,0.79,0.57,0.69,0.08,0.09,0.03,0.04,0.05,0.12,0.10,28.84,0.89
2601.00,137.73,11.59,817.12,823.37,0.27,2.03,5.33,0.01,1.00,0.71,0.25,0.71,0.01,0.04,0.34,0.13,0.03,0.46,0.06,26.60,0.69
2601.50,6.61,12.00,926.77,694.67,-0.09,2.77,2.26,0.04,1.00,0.73,0.50,0.60,0.04,0.01,0.14,0.13,0.03,0.44,0.00,8.77,0.80
2602.00,41.70,10.69,757.59,1495.98,0.33,2.47,8.79,0.10,1.00,0.68,0.55,0.47,0.10,0.07,0.17,0.11,0.09,0.17,0.12,49.51,0.58
2602.50,63.87,4.31,1210.26,367.21,0.31,2.15,4.60,0.09,1.00,0.67,0.55,0.73,0.05,0.01,0.39,0.03,0.04,1.00,0.08,43.72,0.39
2603.00,46.88,10.93,1847.26,42.53,0.15,2.80,8.66,0.08,1.00,0.79,0.31,0.56,0.08,0.08,0.09,0.19,0.01,0.54,0.22,48.28,0.52
2603.50,52.57,8.96,1735.46,464.00,0.21,2.20,2.69,0.06,1.00,0.60,0.30,0.49,0.00,0.02,0.06,0.13,0.04,0.31,0.24,14.42,0.01
2604.00,72.96,3.58,336.39,514.05,0.33,2.91,7.36,0.04,1.00,0.69,0.17,0.15,0.03,0.02,0.11,0.03,0.09,0.28,0.22,7.80,0.54
2604.50,68.60,0.94,640.63,851.12,-0.06,2.41,0.87,0.03,1.00,0.75,0.40,0.20,0.01,0.00,0.40,0.18,0.07,0.50,0.17,11.02,0.80
2605.00,87.81,4.76,1943.15,1696.96,0.15,2.70,6.11,0.06,1.00,0.74,0.41,0.59,0.10,0.09,0.39,0.11,0.10,0.67,0.20,24.69,0.05
2605.50,123.46,10.34,873.27,28.12,-0.05,2.72,4.76,0.04,1.00,0.71,0.57,0.70,0.04,0.05,0.25,0.06,0.06,0.67,0.19,46.87,0.80
2606.00,89.42,7.04,204.45,1498.70,-0.06,2.91,7.90,0.02,1.00,0.68,0.40,0.22,0.05,0.05,0.13,0.19,0.08,0.54,0.12,13.35,0.45
2606.50,132.75,12.84,1150.23,80.77,0.40,2.67,6.18,0.02,1.00,0.75,0.49,0.65,0.09,0.08,0.05,0.15,0.08,0.04,0.09,41.33,0.36
2607.00,112.01,8.63,735.97,659.17,0.27,2.40,4.68,0.06,1.00,0.61,0.20,0.78,0.08,0.07,0.40,0.12,0.03,0.09,0.05,10.58,0.00
2607.50,119.90,10.25,1350.37,598.82,0.33,2.02,4.47,0.06,1.00,0.64,0.52,0.41,0.03,0.03,0.32,0.12,0.06,0.30,0.11,28.28,0.03
2608.00,71.68,5.18,1135.69,688.67,0.16,2.27,1.98,0.08,1.00,0.61,0.36,0.64,0.08,0.07,0.27,0.05,0.08,0.84,0.14,19.77,0.93
2608.50,41.14,6.95,1244.62,1394.77,-0.11,2.01,4.33,0.08,1.00,0.73,0.58,0.64,0.02,0.09,0.09,0.18,0.08,0.13,0.16,44.65,0.99
2609.00,76.34,6.12,551.89,1878.34,0.08,2.30,1.62,0.03,1.00,0.78,0.25,0.26,0.02,0.07,0.10,0.09,0.10,0.76,0.15,23.03,0.89
2609.50,38.48,0.04,704.98,265.13,-0.08,2.82,5.13,0.06,1.00,0.65,0.18,0.14,0.04,0.01,0.26,0.05,0.07,0.06,0.01,7.35,0.98
2610.00,71.47,2.89,1389.86,1394.19,0.33,2.58,3.36,0.09,1.00,0.64,0.53,0.13,0.07,0.09,0.32,0.17,0.09,0.40,0.02,10.55,0.37
2610.50,86.92,7.01,1106.73,1201.49,0.26,2.68,8.00,0.07,1.00,0.73,0.32,0.62,0.04,0.03,0.24,0.06,0.07,0.17,0.21,18.24,0.22
2611.00,13.72,1.86,937.44,1449.22,-0.06,2.93,1.22,0.06,1.00,0.79,0.12,0.15,0.05,0.08,0.37,0.02,0.02,0.20,0.02,11.99,0.62
2611.50,149.78,10.05,760.10,1604.70,0.34,2.41,6.60,0.09,1.00,0.71,0.15,0.72,0.05,0.02,0.25,0.02,0.04,0.29,0.19,47.43,0.58
2612.00,40.78,8.15,1152.42,2.15,0.09,2.21,9.91,0.09,1.00,0.69,0.33,0.44,0.04,0.08,0.06,0.08,0.05,0.72,0.24,16.02,0.34
2612.50,85.83,5.20,557.46,718.47,0.11,2.51,7.45,0.07,1.00,0.65,0.21,0.47,0.09,0.06,0.37,0.20,0.03,0.61,0.17,5.03,0.09
2613.00,61.10,7.41,578.24,956.63,-0.13,2.90,0.69,0.08,1.00,0.62,0.22,0.69,0.04,0.05,0.17,0.17,0.08,0.46,0.09,2.40,0.47
2613.50,101.11,15.73,1670.26,406.31,0.20,2.47,1.83,0.04,1.00,0.68,0.52,0.14,0.06,0.05,0.30,0.13,0.02,0.11,0.19,49.23,0.28
2614.00,141.89,12.24,1579.23,1097.47,-0.08,2.25,7.33,0.09,1.00,0.72,0.49,0.60,0.01,0.07,0.30,0.08,0.03,0.78,0.11,12.10,0.24
2614.50,123.38,13.04,26.17,1416.73,0.05,2.80,4.22,0.01,1.00,0.62,0.28,0.67,0.00,0.05,0.35,0.00,0.01,0.31,0.04,6.08,0.48
2615.00,124.00,12.73,1082.11,1255.57,0.06,2.19,2.42,0.09,1.00,0.74,0.19,0.58,0.02,0.07,0.15,0.13,0.06,0.66,0.07,5.45,0.87
2615.50,74.49,3.29,836.05,1443.44,0.06,2.24,5.00,0.10,1.00,0.72,0.14,0.53,0.05,0.04,0.11,0.06,0.09,0.44,0.09,4.09,0.23
2616.00,87.04,0.14,478.69,467.16,0.30,2.13,7.43,0.05,1.00,0.70,0.45,0.64,0.02,0.09,0.08,0.06,0.09,0.01,0.18,38.54,0.93
2616.50,109.28,2.40,928.38,685.53,0.22,2.74,8.19,0.05,1.00,0.67,0.29,0.39,0.02,0.10,0.15,0.14,0.05,0.07,0.02,34.12,0.67
2617.00,107.05,0.58,1444.21,1007.49,0.09,2.34,7.15,0.01,1.00,0.79,0.52,0.71,0.04,0.05,0.30,0.07,0.05,0.73,0.19,36.39,0.66
2617.50,144.39,9.10,1123.56,202.32,0.34,2.63,3.18,0.09,1.00,0.70,0.20,0.36,0.08,0.03,0.38,0.08,0.05,0.96,0.14,7.47,0.06
2618.00,137.80,0.83,758.43,231.44,-0.09,2.28,0.08,0.06,1.00,0.60,0.52,0.15,0.08,0.05,0.35,0.10,0.05,0.51,0.08,38.04,0.88
2618.50,86.59,6.97,119.48,62.97,0.39,2.84,9.14,0.05,1.00,0.72,0.27,0.38,0.02,0.07,0.08,0.19,0.02,0.46,0.19,24.25,0.93
2619.00,93.83,14.90,1397.96,1778.36,-0.06,2.38,4.50,0.07,1.00,0.63,0.26,0.27,0.05,0.06,0.36,0.03,0.08,0.00,0.15,12.86,0.77
2619.50,29.66,1.82,1330.95,1240.18,0.10,2.70,9.57,0.06,1.00,0.76,0.38,0.79,0.02,0.02,0.28,0.11,0.06,0.64,0.05,43.53,0.44
2620.00,112.45,4.97,1519.68,1724.53,0.08,2.32,5.23,0.00,1.00,0.72,0.13,0.15,0.05,0.03,0.19,0.17,0.05,0.06,0.15,13.55,0.43
2620.50,60.73,11.34,542.79,542.06,0.03,2.64,3.02,0.00,1.00,0.69,0.47,0.76,0.04,0.06,0.36,0.06,0.01,0.65,0.12,10.00,0.02
2621.00,31.56,3.55,814.26,1953.47,-0.14,2.75,3.59,0.05,1.00,0.71,0.40,0.22,0.08,0.10,0.04,0.17,0.01,0.96,0.04,46.49,0.47
2621.50,141.29,14.74,499.82,29.54,0.37,2.59,9.45,0.09,1.00,0.75,0.38,0.36,0.10,0.07,0.23,0.10,0.04,0.38,0.19,49.31,0.37
2622.00,30.50,14.32,1549.60,378.24,0.16,2.00,9.88,0.08,1.00,0.63,0.17,0.34,0.01,0.02,0.12,0.06,0.08,0.06,0.06,41.40,0.20
2622.50,18.59,0.75,334.44,204.34,0.20,2.86,4.33,0.07,1.00,0.62,0.16,0.52,0.02,0.02,0.20,0.12,0.04,0.69,0.17,7.79,0.65
2623.00,99.58,5.34,982.44,516.83,0.37,2.34,6.46,0.04,1.00,0.78,0.41,0.58,0.08,0.03,0.39,0.13,0.06,0.68,0.11,23.03,0.49
2623.50,31.73,12.02,1360.18,545.36,0.45,2.78,5.14,0.03,1.00,0.68,0.60,0.53,0.03,0.09,0.13,0.08,0.04,0.50,0.10,34.47,0.15
2624.00,23.18,1.38,1981.96,1313.72,0.31,2.32,8.60,0.08,1.00,0.72,0.46,0.64,0.05,0.03,0.20,0.15,0.08,0.22,0.17,24.64,0.21
2624.50,23.26,11.42,1889.86,1458.72,0.14,2.50,3.83,0.03,1.00,0.71,0.51,0.17,0.02,0.02,0.09,0.06,0.08,0.87,0.22,20.10,0.98
2625.00,46.73,11.72,702.92,1231.45,0.10,2.69,9.86,0.04,1.00,0.79,0.43,0.27,0.03,0.00,0.05,0.18,0.03,0.92,0.14,39.83,0.75
2625.50,15.67,13.55,838.83,578.67,0.15,2.16,3.27,0.02,1.00,0.68,0.56,0.23,0.04,0.07,0.08,0.18,0.00,0.54,0.06,47.04,0.99
2626.00,149.54,8.05,1449.41,1018.80,-0.03,2.66,7.27,0.06,1.00,0.66,0.21,0.59,0.06,0.06,0.14,0.11,0.01,0.48,0.09,40.05,0.93
2626.50,135.31,6.87,1425.86,1842.32,0.33,2.67,4.59,0.01,1.00,0.70,0.58,0.23,0.03,0.02,0.27,0.01,0.05,0.10,0.03,34.71,0.64
2627.00,56.36,9.06,819.27,1491.98,0.20,2.02,2.14,0.07,1.00,0.76,0.44,0.19,0.00,0.01,0.11,0.18,0.04,0.11,0.14,9.29,0.94
2627.50,39.98,15.45,978.02,1970.93,0.14,2.91,0.82,0.10,1.00,0.70,0.56,0.26,0.01,0.05,0.01,0.18,0.05,0.75,0.16,46.54,0.25
2628.00,33.17,4.83,1020.77,1005.72,0.10,2.08,3.92,0.06,1.00,0.76,0.40,0.51,0.09,0.03,0.20,0.16,0.03,0.19,0.04,12.13,0.69
2628.50,69.21,3.66,1972.73,854.09,-0.13,2.14,9.69,0.07,1.00,0.69,0.14,0.48,0.09,0.08,0.07,0.02,0.02,0.13,0.08,32.89,0.40
2629.00,76.53,7.80,451.65,462.44,0.06,2.78,9.80,0.04,1.00,0.78,0.40,0.64,0.08,0.09,0.35,0.01,0.07,0.16,0.13,32.64,0.59
2629.50,136.61,14.83,1973.13,471.19,0.17,2.09,3.85,0.02,1.00,0.72,0.40,0.73,0.00,0.05,0.22,0.11,0.07,0.05,0.15,0.29,0.54
2630.00,57.69,6.26,499.47,1300.48,0.29,2.67,8.67,0.09,1.00,0.64,0.58,0.11,0.02,0.05,0.21,0.10,0.10,0.32,0.22,11.50,0.89
2630.50,113.83,11.87,1620.73,405.57,0.27,2.30,3.38,0.02,1.00,0.76,0.31,0.36,0.05,0.02,0.07,0.14,0.10,0.60,0.10,41.38,0.45
2631.00,63.22,15.89,32.14,105.13,0.21,2.69,6.64,0.03,1.00,0.73,0.46,0.53,0.01,0.05,0.00,0.03,0.01,0.98,0.15,34.46,0.00
2631.50,119.31,9.61,1253.82,977.77,-0.03,2.10,8.22,0.04,1.00,0.69,0.17,0.19,0.06,0.06,0.31,0.03,0.08,0.44,0.14,39.56,0.67
2632.00,99.43,11.17,47.23,1302.03,0.35,2.87,5.91,0.03,1.00,0.63,0.14,0.19,0.03,0.02,0.32,0.02,0.02,0.43,0.07,0.09,0.25
2632.50,128.71,14.05,730.80,722.52,0.36,2.07,5.57,0.09,1.00,0.74,0.44,0.77,0.08,0.08,0.07,0.16,0.07,0.22,0.10,27.57,0.10
2633.00,29.41,1.43,405.83,1748.01,0.14,2.84,4.81,0.10,1.00,0.64,0.16,0.11,0.07,0.09,0.11,0.19,0.08,0.42,0.24,25.53,0.86
2633.50,125.08,13.38,1275.21,448.28,-0.14,2.11,1.98,0.04,1.00,0.68,0.10,0.50,0.08,0.00,0.11,0.11,0.05,0.56,0.12,6.52,0.71
2634.00,103.87,8.71,1732.54,933.23,-0.01,2.59,3.65,0.09,1.00,0.70,0.52,0.21,0.09,0.04,0.37,0.07,0.10,1.00,0.23,44.29,0.46
2634.50,67.41,14.09,687.78,1610.12,0.26,2.34,9.95,0.06,1.00,0.65,0.38,0.14,0.05,0.05,0.10,0.03,0.03,0.73,0.03,6.69,0.26
2635.00,101.82,7.60,703.70,14.13,0.14,2.55,7.31,0.09,1.00,0.62,0.60,0.78,0.09,0.08,0.31,0.04,0.06,0.42,0.07,30.62,1.00
2635.50,142.85,8.34,753.30,1186.03,0.44,2.56,5.91,0.05,1.00,0.61,0.10,0.47,0.06,0.01,0.31,0.09,0.02,0.44,0.17,16.86,0.20
2636.00,132.42,2.67,1940.30,387.03,-0.06,2.25,7.18,0.02,1.00,0.76,0.28,0.40,0.09,0.07,0.12,0.15,0.00,0.99,0.20,27.51,0.15
2636.50,62.14,15.21,1859.20,1167.11,-0.10,2.69,7.11,0.09,1.00,0.79,0.18,0.18,0.05,0.05,0.18,0.08,0.05,0.21,0.22,14.95,0.38
2637.00,61.90,11.43,1877.69,1188.74,0.10,2.55,2.44,0.01,1.00,0.68,0.22,0.18,0.03,0.09,0.06,0.07,0.10,0.94,0.18,28.83,0.21
2637.50,91.93,1.07,135.04,803.95,0.21,2.12,2.39,0.07,1.00,0.67,0.44,0.61,0.06,0.06,0.11,0.06,0.00,0.95,0.02,24.12,0.15
2638.00,100.19,3.54,1878.71,1702.90,0.34,2.65,1.16,0.10,1.00,0.61,0.23,0.15,0.00,0.01,0.31,0.07,0.02,1.00,0.15,36.75,0.82
2638.50,67.01,8.21,237.58,478.36,-0.07,2.24,2.29,0.01,1.00,0.75,0.56,0.22,0.04,0.01,0.14,0.08,0.07,0.79,0.23,45.05,0.37
2639.00,122.96,12.28,570.70,964.12,-0.05,2.12,7.72,0.01,1.00,0.62,0.16,0.69,0.09,0.01,0.12,0.19,0.01,0.01,0.20,7.68,0.26
2639.50,54.16,11.13,518.89,1852.52,0.35,2.10,9.87,0.07,1.00,0.76,0.49,0.41,0.01,0.04,0.40,0.13,0.01,0.50,0.14,36.86,0.57
2640.00,92.30,2.76,1239.52,788.81,-0.01,2.85,8.76,0.03,1.00,0.77,0.53,0.64,0.05,0.04,0.22,0.15,0.06,0.40,0.21,40.03,0.52
2640.50,38.21,15.52,310.74,374.22,-0.12,2.25,8.93,0.06,1.00,0.69,0.30,0.51,0.04,0.08,0.33,0.16,0.00,0.79,0.18,8.02,0.17
2641.00,136.39,4.70,269.23,311.31,0.45,2.26,5.26,0.06,1.00,0.63,0.17,0.18,0.06,0.04,0.15,0.09,0.07,0.32,0.20,44.04,0.13
2641.50,71.90,4.17,563.05,144.03,0.19,2.31,8.68,0.00,1.00,0.71,0.54,0.49,0.02,0.03,0.01,0.00,0.02,0.73,0.06,11.30,0.71
2642.00,146.25,12.88,1714.26,297.55,0.40,2.81,8.33,0.08,1.00,0.73,0.23,0.64,0.09,0.02,0.17,0.02,0.03,0.83,0.23,21.41,0.15
2642.50,37.56,2.80,1559.40,1902.07,0.03,2.20,7.84,0.09,1.00,0.67,0.51,0.16,0.10,0.03,0.14,0.12,0.07,0.86,0.18,38.22,0.87
2643.00,24.75,10.21,1910.10,312.72,0.04,2.17,4.69,0.01,1.00,0.69,0.54,0.37,0.09,0.08,0.24,0.16,0.04,0.07,0.18,2.71,0.35
2643.50,133.36,8.25,551.24,839.35,-0.08,2.56,9.16,0.06,1.00,0.66,0.54,0.41,0.05,0.01,0.13,0.18,0.09,0.02,0.13,25.16,0.39
2644.00,149.92,12.74,17.31,1339.31,0.18,2.84,5.04,0.04,1.00,0.68,0.56,0.25,0.07,0.04,0.06,0.04,0.08,0.33,0.07,11.51,0.66
2644.50,30.58,8.19,1121.58,1480.74,0.44,2.01,8.10,0.10,1.00,0.60,0.38,0.18,0.02,0.06,0.22,0.04,0.06,0.29,0.14,47.59,0.66
2645.00,59.29,0.73,1512.21,783.84,0.25,2.47,3.65,0.06,1.00,0.71,0.27,0.12,0.02,0.06,0.26,0.01,0.01,0.27,0.14,46.67,0.30
2645.50,137.64,13.78,1811.48,455.24,0.24,2.43,5.81,0.09,1.00,0.63,0.45,0.48,0.02,0.05,0.05,0.12,0.07,0.08,0.22,9.12,0.77
2646.00,30.64,13.95,1026.45,1138.32,-0.10,2.25,1.24,0.02,1.00,0.71,0.32,0.34,0.02,0.08,0.04,0.16,0.01,0.86,0.22,20.13,0.14
2646.50,148.54,13.24,1385.60,1492.04,0.06,1.99,8.21,0.06,1.00,0.78,0.58,0.18,0.05,0.09,0.31,0.12,0.03,0.95,0.17,14.90,0.16
2647.00,99.56,8.74,1541.03,1642.98,0.24,2.47,4.12,0.00,1.00,0.73,0.33,0.42,0.09,0.05,0.28,0.20,0.03,0.67,0.23,49.37,0.80
2647.50,117.83,14.87,1955.90,720.94,0.17,2.55,2.30,0.09,1.00,0.77,0.30,0.17,0.09,0.02,0.24,0.15,0.06,0.81,0.02,32.15,0.14
2648.00,46.63,2.80,1015.06,1147.38,0.14,2.04,1.77,0.05,1.00,0.63,0.47,0.71,0.07,0.05,0.09,0.02,0.09,0.23,0.08,44.27,0.82
2648.50,118.79,8.38,1234.07,510.97,0.00,2.21,7.19,0.04,1.00,0.68,0.36,0.47,0.09,0.02,0.31,0.02,0.08,0.49,0.11,14.23,0.47
2649.00,116.44,13.75,675.79,1671.67,0.31,2.41,1.68,0.02,1.00,0.70,0.44,0.14,0.05,0.07,0.29,0.05,0.00,0.29,0.13,8.46,0.25
2649.50,99.77,3.66,986.46,834.84,0.39,2.15,1.47,0.08,1.00,0.61,0.27,0.56,0.03,0.09,0.00,0.10,0.01,0.92,0.11,9.80,0.68
2650.00,89.82,5.31,1546.83,122.39,-0.10,2.77,4.31,0.07,1.00,0.79,0.48,0.23,0.01,0.01,0.22,0.06,0.00,0.27,0.08,4.40,0.13
2650.50,119.07,7.74,1322.65,495.08,-0.05,2.18,7.82,0.01,1.00,0.80,0.28,0.22,0.03,0.07,0.06,0.17,0.07,0.44,0.11,0.09,0.27
2651.00,142.82,15.45,548.07,974.00,0.41,2.07,1.37,0.02,1.00,0.61,0.16,0.41,0.05,0.10,0.29,0.10,0.02,0.68,0.08,1.70,0.70
2651.50,83.64,15.11,975.13,1694.23,0.35,2.92,9.29,0.03,1.00,0.70,0.32,0.39,0.07,0.09,0.38,0.14,0.06,0.03,0.01,20.67,0.58
2652.00,81.93,12.96,748.29,757.21,-0.15,2.35,0.53,0.03,1.00,0.76,0.58,0.47,0.01,0.02,0.23,0.13,0.01,0.02,0.05,48.88,0.32
2652.50,95.10,11.93,487.57,751.91,0.23,2.10,7.70,0.08,1.00,0.68,0.26,0.11,0.03,0.08,0.16,0.12,0.07,0.95,0.20,17.68,0.85
2653.00,13.49,5.23,1105.77,1799.06,-0.06,2.38,2.83,0.08,1.00,0.70,0.41,0.76,0.08,0.06,0.28,0.15,0.02,0.49,0.03,29.57,0.96
2653.50,56.30,7.87,1093.59,313.74,0.21,2.01,0.97,0.06,1.00,0.61,0.42,0.14,0.03,0.10,0.27,0.06,0.10,0.79,0.01,48.04,0.12
2654.00,45.45,5.57,1405.24,160.31,0.42,2.92,9.05,0.05,1.00,0.67,0.21,0.19,0.03,0.10,0.09,0.07,0.09,0.73,0.04,31.55,0.50
2654.50,32.40,13.35,714.24,346.25,0.34,2.07,1.20,0.07,1.00,0.71,0.56,0.56,0.06,0.10,0.16,0.20,0.01,0.24,0.17,21.92,0.36
2655.00,44.58,8.19,1647.40,1479.98,0.18,2.49,9.40,0.08,1.00,0.69,0.17,0.58,0.08,0.04,0.23,0.00,0.03,0.48,0.12,30.78,0.09
2655.50,111.20,9.17,1718.75,814.47,-0.00,2.63,6.05,0.03,1.00,0.65,0.49,0.26,0.10,0.01,0.19,0.09,0.02,0.17,0.24,47.22,0.68
2656.00,83.19,8.66,342.93,31.84,0.40,2.28,4.01,0.01,1.00,0.80,0.20,0.11,0.05,0.10,0.04,0.14,0.00,0.28,0.02,7.63,0.59
2656.50,78.19,0.77,262.35,1379.15,0.06,2.20,3.89,0.05,1.00,0.73,0.55,0.60,0.07,0.02,0.13,0.13,0.08,0.16,0.05,9.06,0.78
2657.00,16.03,4.64,1646.78,829.27,0.38,2.69,7.51,0.04,1.00,0.63,0.41,0.28,0.10,0.06,0.30,0.08,0.05,0.32,0.10,49.57,0.28
2657.50,57.02,13.91,353.04,1591.55,0.20,2.07,6.58,0.00,1.00,0.65,0.38,0.64,0.04,0.04,0.10,0.15,0.09,0.75,0.08,25.04,0.85
2658.00,117.56,7.79,1981.20,1340.83,0.03,2.23,0.73,0.02,1.00,0.63,0.34,0.57,0.10,0.09,0.32,0.03,0.08,0.50,0.24,27.35,0.60
2658.50,44.62,10.54,787.66,1278.97,0.06,1.98,8.27,0.10,1.00,0.76,0.46,0.16,0.07,0.08,0.38,0.13,0.06,1.00,0.10,35.37,0.22
2659.00,121.21,15.32,572.46,1584.82,0.27,2.04,6.79,0.09,1.00,0.60,0.56,0.42,0.03,0.03,0.23,0.15,0.03,0.99,0.14,16.17,0.48
2659.50,139.06,6.19,68.99,1165.38,-0.07,2.24,6.71,0.00,1.00,0.67,0.13,0.66,0.03,0.08,0.26,0.07,0.04,0.97,0.09,12.12,0.34
2660.00,55.36,7.48,1245.88,1810.14,0.27,2.02,8.74,0.09,1.00,0.77,0.28,0.46,0.05,0.05,0.08,0.01,0.00,0.47,0.20,6.03,0.18
2660.50,147.85,2.16,950.95,1384.69,-0.08,2.24,0.44,0.10,1.00,0.72,0.45,0.64,0.02,0.07,0.03,0.04,0.03,0.23,0.03,43.86,0.66
2661.00,103.84,3.95,996.77,718.87,0.45,2.13,0.63,0.01,1.00,0.66,0.19,0.45,0.01,0.06,0.30,0.13,0.09,0.64,0.02,41.82,0.89
2661.50,10.68,10.85,27.99,1501.56,-0.05,2.62,2.81,0.03,1.00,0.64,0.29,0.58,0.08,0.03,0.21,0.20,0.05,0.23,0.16,6.40,0.96
2662.00,28.11,3.76,1963.70,1974.37,0.30,2.08,0.74,0.02,1.00,0.66,0.51,0.50,0.07,0.04,0.08,0.03,0.08,0.97,0.08,25.38,0.38
2662.50,101.16,13.26,1829.54,1629.17,0.26,2.55,8.56,0.09,1.00,0.73,0.28,0.29,0.10,0.10,0.26,0.12,0.07,0.37,0.21,43.23,0.84
